Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Гречаник,Едуард,Кирилович,Чоловіча,1963-01-08,Мінералог,місто Кам'янське,"сквер Французький, буд. 15 кв. 169, Мена , 97690",455 49 87,uhaida@example.net
Пʼятаченко,Оксенія,Владиславівна,Жіноча,1983-03-17,Головний меркшейдер,селище Вільногірськ,"набережна Молодіжна, буд. 21 кв. 815, Боково-Хрустальне, 15442",866-89-96,andriizabara@example.net
Демʼянюк,Єфрем,Олесьович,Чоловіча,1942-05-08,Клоун,місто Нововолинськ,"набережна Аеродромний 2-й, буд. 109, Хирів, 54851",+380 78 332-32-11,artemdevdiuk@example.net
Колісниченко,Ліза,Станіславівна,Жіноча,1946-03-11,Фермер,селище Городок,"площа Шолохова, буд. 57, Попасна, 85102",004 999-46-33,kyrylenkoiaryna@example.net
Удовенко,Яків,Олесьович,Чоловіча,1965-01-01,Слідчий,хутір Богодухів,"набережна Розумовський 1-й, буд. 89, Вилкове, 87465",513 37 56,zlatoslava02@example.com
Бабенко,Аарон,Прохорович,Чоловіча,1983-07-28,Маркетолог,хутір Довжанськ,"проспект Тупиковий, буд. 89, Новий Розділ, 79207",617 45 22,rtelizhenko@example.net
Дрозд,Пантелеймон,Яковович,Чоловіча,1983-06-22,Секретар,село Устилуг,"проспект Олександра Невського 5-й, буд. 29 кв. 9, Ворожба, 77037",068 733-06-01,vzhuravel@example.org
Чуприна,Марина,Леонідівна,Жіноча,1965-07-12,Ювелір,село Білозерське,"парк Зарічна, буд. 33, Мелітополь, 53166",070 995 48 34,ostap28@example.org
Ляшко,Георгій,Семенович,Чоловіча,1978-02-09,Електрослюсар,хутір Ізюм,"вулиця Маланова, буд. 235 кв. 18, Косів, 73538",+380 (89) 896-37-20,zartymovych@example.org
Шаповал,Аврелій,Яремович,Чоловіча,1980-10-08,Паблік рилейшнз,місто Стрий,"парк Наявний 6-й, буд. 41, Олександрія, 51782",276 88 90,nnosenko@example.org
Абрамчук,Мілена,Устимівна,Жіноча,1992-06-30,Складальник,хутір Горохів,"провулок Зоопаркова, буд. 458 кв. 6, Вознесенівка, 73382",382 73 58,hovcharenko@example.com
Баранець,Семен,Теодорович,Чоловіча,1969-01-22,Ювелір,селище Новоазовськ,"сквер Тещин міст, буд. 168, Коростишів, 23273",582 40 82,haidamakaanita@example.org
Худобʼяк,Олекса,Єфремович,Чоловіча,1977-03-29,Громадський діяч,хутір Синельникове,"набережна Чехова, буд. 2, Сколе, 73260",+380 23 778-80-43,snizhana76@example.net
Шахрай,Артем,Орхипович,Чоловіча,2005-10-23,Локсмайстер,хутір Житомир,"площа 18-та Лінія 6-й ст. Люстдорфської дороги, буд. 7 кв. 3, Радивилів, 21863",927 19 53,martanehoda@example.net
Бабʼюк,Олена,Кирилівна,Жіноча,1988-11-01,Фармацевт,селище Могилів-Подільський,"площа Віцеадмірала Азарова, буд. 491, Ржищів, 98810",+380 66 220-22-68,anton85@example.com
Дурдинець,Одарка,Павлівна,Жіноча,1996-04-21,Детектив,село Виноградів,"площа Ювілейний 2-й, буд. 39 кв. 313, Фастів, 71382",+380 (51) 717-41-04,panasverkhovynets@example.com
Якимчук,Болеслав,Олексович,Чоловіча,1984-07-29,Філолог,село Гайсин,"набережна Артилерійська, буд. 1, Амвросіївка, 93517",254 30 08,ostapfastenko@example.net
Микитюк,Єфрем,Степанович,Чоловіча,1979-09-29,Психолог,селище Суми,"набережна Середня, буд. 3, Ужгород, 91318",+380 07 601-49-10,kyrylohrechanyk@example.com
Затовканюк,Віолетта,Васильівна,Жіноча,1969-06-08,Лікар,місто Ромни,"сквер Дачний 2-й, буд. 487, Запоріжжя, 08128",+380 53 813 50 17,lizavyshyvanyi@example.org
Гуцуляк,Ярема,Миронович,Чоловіча,1945-09-22,Кушнір,місто Вознесенськ,"площа Заводська 5-та, буд. 02 кв. 41, Буча, 86621",846-19-17,eievtushenko@example.org
Сірченко,Олекса,Васильович,Чоловіча,1978-07-31,Футболіст,село Судак ,"провулок Костанді 3-й, буд. 8, Нововолинськ, 34365",082 768-86-14,tereza06@example.net
Онуфрієнко,Семен,Макарович,Чоловіча,1977-07-24,Локсмайстер,село Соснівка ,"проспект Молодіжна, буд. 271 кв. 4, Березань , 51869",+380 13 948 35 92,opanasenkoparmen@example.net
Єсипенко,Онисим,Альбертович,Чоловіча,1973-10-21,Вчитель,хутір Новоград-Волинський,"набережна Мукачівський, буд. 890 кв. 7, Красноград, 28248",+380 37 099-41-98,zakharenkoleontii@example.com
Корж,Альбіна,Михайлівна,Жіноча,1990-06-10,Гінеколог,місто Алупка,"набережна Вокзальна, буд. 418, Корсунь-Шевченківський, 63081",066 745-46-52,stefan32@example.com
Ребрик,Мирослав,Соломонович,Чоловіча,1996-08-17,Складальник,хутір Яворів,"вулиця Юннатів 1-й, буд. 48, Корець, 84641",+380 35 843-41-90,volodymyr78@example.net
Овчаренко,Оксана,Федорівна,Жіноча,1963-05-12,Менеджер,хутір Рава-Руська,"площа Обсерваторний, буд. 728, Чистякове, 55063",080 660-58-81,olesiemelianenko@example.org
Ярош,Світлана,Васильівна,Жіноча,1995-01-27,Реабілітолог,селище Судак ,"сквер Наявний 2-й, буд. 00 кв. 6, Новояворівськ, 32541",806 46 65,iermolenkostefan@example.org
Гук,Арсен,Миколайович,Чоловіча,2002-07-22,Провізор,село Євпаторія,"шосе Наявний 3-й, буд. 48, Бахчисарай, 51001",+380 (60) 953-69-71,mamchurbohodar@example.net
Супруненко,Юстина,Едуардівна,Жіноча,1948-06-14,Біолог,місто Ковель,"площа Достоєвського, буд. 94 кв. 06, Торецьк, 71804",367-52-40,isaienko@example.com
Жадан,Дан,Амвросійович,Чоловіча,1979-05-23,Кінолог,селище Гірник ,"площа Сумська, буд. 45 кв. 50, Новодружеськ, 12812",+380 79 589-32-36,akaras@example.org
Архипенко,Олесь,Августинович,Чоловіча,1992-11-01,Кур'єр,село Барвінкове,"вулиця Бориса Дерев'янка, буд. 46 кв. 770, Мала Виска, 32970",867-91-35,matviienkoiustyna@example.org
Швайка,Едуард,Августинович,Чоловіча,1957-10-05,Підприємець,хутір Немирів,"сквер Бессарабська, буд. 91 кв. 746, Нова Каховка, 94263",+380 49 902-05-41,konopliazakhar@example.net
Лемешко,Розалія,Лукʼянівна,Жіноча,1942-05-14,Режисер,місто Жмеринка,"провулок Бабеля, буд. 09 кв. 6, Южноукраїнськ, 38916",+380 53 120-53-26,vustenko@example.net
Наливайко,Климент,Йосипович,Чоловіча,1943-12-12,Пілот,село Первомайський ,"вулиця 11-та Лінія Марії Демченко, буд. 628, Жовква, 50435",052 798 75 86,maryna58@example.net
Симоненко,Тереза,Михайлівна,Жіноча,1956-04-21,Геофізик,село Біла Церква,"сквер Лінія 40-ва, буд. 24 кв. 1, Федорівка, 03166",889 01 97,tlutsenko@example.com
Швачка,Амвросій,Омелянович,Чоловіча,2002-04-10,Астроном,селище Калинівка ,"сквер Манежна, буд. 05, Гадяч, 24829",777-64-25,jmoskal@example.net
Тригуб,Альберт,Борисович,Чоловіча,1950-06-14,Ботанік,місто Молочанськ,"вулиця Партизанської Слави, буд. 8, Оріхів, 02755",088 058 21 68,dan07@example.com
Девдюк,Вадим,Олексович,Чоловіча,1995-02-04,Євнух,місто Ялта,"шосе Високий, буд. 84 кв. 92, Надвірна, 19618",+380 (60) 822-14-16,sdeineko@example.com
Василевич,Марʼяна,Охрімівна,Жіноча,1944-08-19,Дизайнер,селище Олександрівськ,"набережна Маринеско узвіз, буд. 24 кв. 073, Благовіщенське, 48890",034 760-46-44,arseniurchyshyn@example.org
Годунок,Гліб,Миколайович,Чоловіча,1988-01-16,Композитор,хутір Долинська,"шосе Злакова, буд. 972 кв. 155, Ізюм, 44897",+380 63 045-07-58,rostyslavdrozd@example.com
